LSOA_Code,LSOA_Name,LADcode,Local_authority_name,pop_2001,pop_2011,Median_House_Prices_2001,Median_House_Prices_2011,All_cat_qual_2001,Level_4_qualifications_and_above_2001,All_cat_qual_2011,Level_4_qualifications_and_above_2011,All_categories_NS_SeC_2001,X1_Higher_managerial_administrative_and_professional_occupations_2001,All_categories_NS_SeC_2011,X1_Higher_managerial_administrative_and_professional_occupations_2011,Median_income_2001,Median_income_2011
E01001213,Ealing023A,E09000009,Ealing,1716,1830,100500,235000,1287,246,1482,374,1289,76,1407,71,20870,29280
E01001214,Ealing023B,E09000009,Ealing,1696,1749,142000,284000,1341,332,1443,431,1341,89,1350,99,22960,31760
E01001215,Ealing023C,E09000009,Ealing,1608,1765,120000,270000,1229,278,1404,344,1230,67,1285,80,20800,29240
E01001216,Ealing023D,E09000009,Ealing,1515,1564,77500,178000,1103,282,1253,396,1105,90,1158,104,21880,31600
E01001217,Ealing014A,E09000009,Ealing,1511,1539,144500,265000,1103,264,1217,328,1107,79,1147,69,25270,34010
E01001218,Ealing012A,E09000009,Ealing,1718,1908,125000,241975,1224,274,1456,324,1222,68,1350,66,21270,29370
E01001219,Ealing029A,E09000009,Ealing,1733,2046,114250,225500,1145,167,1479,257,1145,47,1380,52,19240,27350
E01001220,Ealing029B,E09000009,Ealing,1576,1509,69725,150000,1016,142,1061,176,1014,38,996,47,18650,26020
E01001221,Ealing020A,E09000009,Ealing,1651,1861,163500,247450,1379,781,1716,984,1379,334,1625,349,32030,41990
E01001222,Ealing019A,E09000009,Ealing,1570,2384,155500,330000,1317,688,2005,1093,1316,281,1951,402,32420,40990
E01001223,Ealing020B,E09000009,Ealing,1503,1517,208000,510000,1205,735,1314,789,1203,336,1220,348,34710,46630
E01001224,Ealing019B,E09000009,Ealing,1604,1616,355000,625000,1227,685,1280,784,1229,306,1210,295,38660,49590
E01001225,Ealing020C,E09000009,Ealing,1685,1790,260000,550000,1299,739,1520,898,1298,326,1385,339,33310,45350
E01001226,Ealing019C,E09000009,Ealing,1508,1535,192500,322000,1188,734,1311,782,1190,294,1166,281,33970,44240
E01001227,Ealing019D,E09000009,Ealing,1563,1514,389975,460000,1200,678,1231,733,1198,299,1137,302,36600,48200
E01001228,Ealing019E,E09000009,Ealing,1550,1812,186000,297475,1232,740,1611,859,1226,302,1446,302,34260,43700
E01001229,Ealing031A,E09000009,Ealing,1424,1522,167500,250000,1062,292,1215,405,1063,117,1126,108,26960,36050
E01001230,Ealing031B,E09000009,Ealing,1419,1488,272500,390000,1177,664,1286,722,1177,275,1233,282,33970,45350
E01001231,Ealing027A,E09000009,Ealing,1520,1866,375000,271500,1183,594,1577,820,1184,209,1444,290,33830,43610
E01001232,Ealing031C,E09000009,Ealing,1477,1538,175000,349000,1162,455,1261,543,1161,201,1182,235,30370,40560
E01001233,Ealing031D,E09000009,Ealing,1397,1424,169950,373500,1086,476,1210,541,1086,202,1123,186,30530,40270
E01001234,Ealing027B,E09000009,Ealing,1269,1401,172500,323500,1079,617,1216,704,1081,257,1156,221,31430,41380
E01001235,Ealing020D,E09000009,Ealing,1359,1597,191300,310000,1164,728,1401,898,1164,327,1333,346,33870,45100
E01001236,Ealing020E,E09000009,Ealing,1497,1590,192500,295000,1210,703,1345,802,1209,317,1251,308,32630,43360
E01001237,Ealing031E,E09000009,Ealing,1441,1593,200000,495000,1120,662,1374,813,1113,309,1271,329,33470,45590
E01001238,Ealing015B,E09000009,Ealing,1555,2868,110000,203500,1271,493,2425,1126,1270,142,2385,254,24590,31910
E01001239,Ealing015C,E09000009,Ealing,1358,1542,129500,224650,1010,282,1236,385,1008,91,1203,82,23710,31030
E01001240,Ealing024A,E09000009,Ealing,1426,1615,191000,376275,1051,303,1313,428,1051,77,1230,92,24700,32640
E01001241,Ealing024B,E09000009,Ealing,1310,1501,171750,347000,974,344,1235,373,972,96,1157,114,25450,33280
E01001242,Ealing024C,E09000009,Ealing,1415,1455,182500,275000,1038,378,1125,399,1039,115,1043,109,26720,34720
E01001243,Ealing024D,E09000009,Ealing,1539,1742,160000,263750,1134,337,1295,476,1136,99,1230,134,24690,32410
E01001244,Ealing024E,E09000009,Ealing,1367,2539,158975,236500,978,246,2050,864,979,68,1934,283,22420,31930
E01001245,Ealing024F,E09000009,Ealing,1449,1914,170000,363670,1147,515,1584,793,1145,161,1520,233,27560,37060
E01001246,Ealing015D,E09000009,Ealing,1329,1360,133000,293000,968,265,1055,307,967,83,1000,73,24680,32220
E01001247,Ealing015E,E09000009,Ealing,1700,2170,185000,410750,1284,406,1787,634,1283,127,1688,175,25230,34180
E01001248,Ealing035A,E09000009,Ealing,1513,1592,150000,245875,1120,377,1303,481,1119,136,1172,139,28090,39610
E01001249,Ealing028A,E09000009,Ealing,1648,2370,167000,329950,1205,386,1866,717,1209,147,1776,196,24880,33960
E01001250,Ealing028B,E09000009,Ealing,1743,2041,130300,228500,1437,502,1692,624,1435,221,1619,203,26690,34360
E01001251,Ealing030A,E09000009,Ealing,1477,1654,153000,250000,1165,500,1334,593,1165,185,1266,163,29320,39890
E01001252,Ealing030B,E09000009,Ealing,1519,1938,155000,280000,1225,470,1539,550,1225,145,1474,163,27410,37120
E01001253,Ealing030C,E09000009,Ealing,1435,1649,135000,360000,1106,435,1317,533,1110,173,1250,150,28440,39410
E01001254,Ealing030D,E09000009,Ealing,1489,1685,173000,287500,1143,500,1350,648,1144,221,1257,198,29190,41000
E01001255,Ealing028C,E09000009,Ealing,1505,1610,185000,355000,1158,492,1274,593,1161,202,1200,215,29910,41440
E01001257,Ealing008A,E09000009,Ealing,1505,1783,81701,149050,1001,115,1251,245,1000,28,1186,47,19030,27290
E01001258,Ealing010B,E09000009,Ealing,1504,1690,100500,186000,1131,258,1351,351,1130,93,1242,101,23830,32180
E01001259,Ealing014B,E09000009,Ealing,1306,1457,125000,200000,996,247,1163,288,999,94,1094,73,25440,32630
E01001260,Ealing012B,E09000009,Ealing,1623,1899,107500,212500,1196,295,1531,457,1195,117,1406,102,24480,32740
E01001261,Ealing012C,E09000009,Ealing,1511,2178,141000,249875,1109,233,1766,475,1106,77,1667,82,23570,31530
E01001262,Ealing010C,E09000009,Ealing,1400,1592,88000,172500,1000,156,1234,268,1003,55,1107,41,21840,30260
E01001263,Ealing010D,E09000009,Ealing,1511,1672,91000,167750,1109,197,1281,287,1107,80,1219,63,21970,30150
E01001264,Ealing010E,E09000009,Ealing,1441,1655,123500,247500,1020,209,1253,322,1019,59,1131,78,22950,31410
E01001265,Ealing006A,E09000009,Ealing,1467,1692,106000,157000,1164,336,1314,394,1164,119,1264,106,26380,34000
E01001266,Ealing006B,E09000009,Ealing,1640,1832,154000,280000,1291,382,1505,461,1292,110,1404,115,27130,35920
E01001267,Ealing006C,E09000009,Ealing,1612,1953,103000,197000,1216,269,1525,393,1212,89,1388,102,24480,32400
E01001268,Ealing012D,E09000009,Ealing,1538,1736,160000,260000,1138,308,1356,426,1138,145,1220,143,27620,37360
E01001269,Ealing001A,E09000009,Ealing,1589,1983,146000,255000,1167,313,1542,498,1166,112,1465,135,26700,35810
E01001270,Ealing004A,E09000009,Ealing,1562,1721,144950,255000,1139,254,1369,423,1138,114,1281,124,26800,37220
E01001271,Ealing001B,E09000009,Ealing,1599,1804,140000,269000,1177,253,1418,394,1175,91,1345,102,25730,35250
E01001272,Ealing006D,E09000009,Ealing,1459,1628,131500,302000,1092,339,1312,436,1092,89,1213,124,26790,35840
E01001273,Ealing020F,E09000009,Ealing,1606,1623,199950,400000,1206,658,1329,724,1205,280,1208,291,34140,46640
E01001274,Ealing020G,E09000009,Ealing,1537,1630,280000,521500,1054,572,1209,583,1054,218,1140,245,34080,45570
E01001275,Ealing020H,E09000009,Ealing,1524,1901,182500,315000,1307,739,1615,952,1307,322,1508,387,32870,42860
E01001276,Ealing011A,E09000009,Ealing,1550,1788,120250,190000,1219,501,1435,519,1220,166,1372,148,29350,37030
E01001277,Ealing011B,E09000009,Ealing,1569,1844,212500,298500,1235,537,1537,649,1239,195,1438,191,30960,39750
E01001278,Ealing011C,E09000009,Ealing,1655,1962,140000,240000,1252,564,1597,677,1252,214,1461,226,29930,38600
E01001279,Ealing013C,E09000009,Ealing,1536,1473,299950,585000,1100,565,1196,726,1095,247,1092,291,35310,50930
E01001280,Ealing011D,E09000009,Ealing,1526,1740,158500,282000,1205,659,1436,768,1206,257,1315,282,32490,41580
E01001281,Ealing013D,E09000009,Ealing,1505,1600,231500,499950,1144,635,1255,806,1141,286,1091,289,34590,50270
E01001282,Ealing016B,E09000009,Ealing,1395,1557,133500,250000,969,186,1208,278,971,54,1095,73,23680,30980
E01001283,Ealing016C,E09000009,Ealing,1479,1595,125000,225000,1080,246,1262,318,1081,85,1120,90,23360,30660
E01001284,Ealing022A,E09000009,Ealing,1522,1539,178500,321500,1117,319,1255,417,1121,120,1139,119,28540,40180
E01001285,Ealing016D,E09000009,Ealing,1431,1690,137750,275000,1078,275,1291,365,1080,105,1221,106,25870,34220
E01001286,Ealing016E,E09000009,Ealing,1465,1674,137500,271250,1073,313,1256,375,1069,102,1171,88,25750,33910
E01001287,Ealing016F,E09000009,Ealing,1435,1437,169500,297000,977,259,1056,258,976,81,1014,63,24650,32410
E01001288,Ealing022B,E09000009,Ealing,1377,1498,161750,310000,1045,419,1148,479,1047,137,1091,143,27780,41150
E01001289,Ealing022C,E09000009,Ealing,1345,1383,151000,340000,1001,425,1038,471,1002,148,1002,152,29460,41440
E01001290,Ealing022D,E09000009,Ealing,1619,1856,132000,249000,1197,565,1499,705,1196,213,1423,210,29490,40180
E01001291,Ealing014C,E09000009,Ealing,1518,1642,144000,250000,1093,251,1282,347,1092,73,1210,82,25020,33860
E01001292,Ealing014D,E09000009,Ealing,1592,1708,148500,261000,1170,300,1378,371,1169,89,1289,106,25510,36370
E01001293,Ealing014E,E09000009,Ealing,1428,1598,121500,230000,1061,221,1263,325,1058,75,1191,75,24660,33530
E01001294,Ealing017A,E09000009,Ealing,1773,1894,119000,232000,1317,263,1526,395,1318,77,1457,88,24020,32200
E01001295,Ealing017B,E09000009,Ealing,1680,1826,126000,225000,1265,278,1451,368,1262,81,1376,96,24290,32820
E01001296,Ealing017C,E09000009,Ealing,1307,1481,130000,270000,961,189,1178,289,956,44,1115,61,23250,31890
E01001297,Ealing017D,E09000009,Ealing,1663,1814,83500,210000,1201,238,1437,366,1202,58,1366,76,22280,31610
E01001298,Ealing017E,E09000009,Ealing,1845,1934,133250,224000,1298,272,1575,355,1291,75,1400,77,22460,30720
E01001299,Ealing035B,E09000009,Ealing,1750,1833,264000,496250,1323,567,1464,701,1325,210,1341,234,33110,46220
E01001300,Ealing039A,E09000009,Ealing,1527,1692,247225,495000,1165,611,1302,736,1165,270,1227,295,34870,48170
E01001301,Ealing039B,E09000009,Ealing,1634,1782,156250,295000,1380,762,1569,890,1379,244,1481,218,31960,41900
E01001302,Ealing039C,E09000009,Ealing,1498,1621,213000,298500,1155,514,1291,671,1154,231,1220,227,33290,45230
E01001303,Ealing032A,E09000009,Ealing,1538,1639,257500,441750,1181,694,1311,819,1185,279,1243,281,35560,49180
E01001304,Ealing039D,E09000009,Ealing,1491,1627,149250,302000,1190,620,1338,731,1191,257,1283,253,32420,44050
E01001305,Ealing035C,E09000009,Ealing,1521,1716,235000,421500,1144,504,1375,728,1142,206,1292,234,32970,47520
E01001306,Ealing035D,E09000009,Ealing,1520,1607,208500,411500,1206,653,1322,734,1200,268,1223,262,33300,46690
E01001307,Ealing002A,E09000009,Ealing,1670,1833,147500,276000,1241,389,1503,488,1243,129,1400,141,27990,37360
E01001308,Ealing002B,E09000009,Ealing,1784,2042,182500,280000,1303,409,1699,580,1302,150,1541,180,28890,37800
E01001309,Ealing001C,E09000009,Ealing,1582,1830,143500,262500,1156,250,1439,386,1159,96,1366,99,26880,35900
E01001310,Ealing001D,E09000009,Ealing,1542,1801,88475,250000,1114,224,1413,402,1117,98,1346,115,26020,35920
E01001311,Ealing001E,E09000009,Ealing,1723,2082,120000,250000,1277,193,1556,332,1278,69,1494,88,23710,32400
E01001312,Ealing002C,E09000009,Ealing,1754,1839,148375,273000,1290,368,1470,475,1292,130,1360,136,26810,36360
E01001313,Ealing002D,E09000009,Ealing,1543,1701,151000,305000,1138,326,1384,456,1138,104,1295,133,27230,37170
E01001314,Ealing002E,E09000009,Ealing,1491,1585,143725,265000,1088,294,1264,413,1084,83,1194,109,27280,37580
E01001315,Ealing003A,E09000009,Ealing,1393,1461,123000,240000,1010,213,1125,305,1013,78,1091,64,24070,32680
E01001316,Ealing003B,E09000009,Ealing,1427,1583,90975,259000,964,158,1174,283,964,43,1105,55,19830,29340
E01001317,Ealing003C,E09000009,Ealing,1541,1862,100000,207500,1034,183,1405,325,1034,70,1302,100,22370,30990
E01001318,Ealing003D,E09000009,Ealing,1372,1790,94000,211250,855,107,1334,281,852,33,1217,79,20180,29690
E01001319,Ealing004B,E09000009,Ealing,1383,1498,132500,240000,1007,200,1166,291,1007,70,1071,84,24520,34720
E01001320,Ealing003E,E09000009,Ealing,1319,1548,97500,192500,901,108,1060,200,905,43,1021,47,21180,28810
E01001321,Ealing003F,E09000009,Ealing,1499,2021,139250,250000,1075,196,1584,401,1075,83,1449,109,24010,32540
E01001322,Ealing004C,E09000009,Ealing,1462,1692,127250,250000,1104,280,1355,404,1110,126,1289,112,24650,34720
E01001323,Ealing004D,E09000009,Ealing,1494,1728,94000,226000,1161,271,1411,495,1161,118,1304,135,24920,34220
E01001324,Ealing008B,E09000009,Ealing,1392,1553,82500,163000,1088,285,1193,360,1086,104,1133,87,23500,30970
E01001325,Ealing009A,E09000009,Ealing,1645,1758,107750,227000,1109,111,1322,268,1104,35,1225,58,20640,30290
E01001326,Ealing008C,E09000009,Ealing,1488,1719,94500,162500,1031,192,1277,291,1031,68,1169,71,21700,28890
E01001327,Ealing009B,E09000009,Ealing,1516,1803,127000,250000,1052,160,1394,266,1055,68,1288,71,21990,30010
E01001328,Ealing009C,E09000009,Ealing,1509,1730,119150,180000,1050,170,1265,252,1049,48,1184,63,21130,28920
E01001329,Ealing009D,E09000009,Ealing,1528,1783,103500,244975,1030,151,1313,288,1027,53,1208,76,21710,30950
E01001330,Ealing008D,E09000009,Ealing,1542,1598,83000,168500,1021,151,1203,215,1021,45,1127,49,19370,26840
E01001331,Ealing009E,E09000009,Ealing,1500,1674,72250,163500,1021,143,1155,231,1025,47,1118,40,20220,27920
E01001332,Ealing008E,E09000009,Ealing,1300,1503,69500,163500,937,141,1135,267,939,57,1091,44,19850,28140
E01001333,Ealing038A,E09000009,Ealing,1628,1903,119000,222500,1165,226,1497,330,1164,62,1382,54,20540,27610
E01001334,Ealing029C,E09000009,Ealing,1569,1623,102000,190500,1063,180,1210,222,1066,55,1145,47,18860,25680
E01001335,Ealing038B,E09000009,Ealing,1691,1781,238750,325000,1153,337,1501,494,1153,141,1308,146,26600,34210
E01001336,Ealing038C,E09000009,Ealing,1454,1572,109500,437500,1050,257,1278,363,1053,87,1183,100,22360,31330
E01001337,Ealing029D,E09000009,Ealing,1533,1470,143975,248500,1057,285,1179,370,1059,66,1129,75,23130,30910
E01001338,Ealing029E,E09000009,Ealing,1606,1953,121000,237000,1206,290,1575,423,1204,81,1417,86,22060,29430
E01001339,Ealing029F,E09000009,Ealing,1544,1841,167250,145000,1019,230,1346,320,1019,74,1295,70,22600,28940
E01001340,Ealing029G,E09000009,Ealing,1622,1889,134750,150000,1196,374,1552,447,1195,104,1521,98,23840,31450
E01001341,Ealing005A,E09000009,Ealing,1472,1712,136250,247500,1111,276,1357,401,1109,93,1283,101,26740,35590
E01001342,Ealing005B,E09000009,Ealing,1562,1867,131000,251000,1174,376,1470,489,1175,135,1410,145,27070,35410
E01001343,Ealing005C,E09000009,Ealing,1411,1504,150500,292000,1095,292,1219,374,1095,90,1135,93,27350,36620
E01001344,Ealing007A,E09000009,Ealing,1486,2161,155000,214000,1114,346,1725,643,1113,122,1639,193,27030,35780
E01001345,Ealing005D,E09000009,Ealing,1467,1680,126000,262000,1045,208,1306,314,1046,68,1225,75,24360,33330
E01001346,Ealing007B,E09000009,Ealing,1711,1878,142000,250000,1286,358,1483,444,1289,122,1388,138,27130,37320
E01001347,Ealing007C,E09000009,Ealing,1453,1534,139950,279950,1090,307,1265,371,1086,93,1189,99,26630,36400
E01001348,Ealing007D,E09000009,Ealing,1476,1599,143500,229500,1127,368,1289,446,1126,137,1207,134,27080,37670
E01001349,Ealing006E,E09000009,Ealing,1403,1404,161500,249950,998,178,1138,293,996,63,1057,106,24690,33880
E01001350,Ealing027C,E09000009,Ealing,1444,1486,174000,330000,1068,562,1223,645,1069,224,1131,207,29800,40830
E01001351,Ealing025E,E09000009,Ealing,1485,1994,169950,290000,1160,523,1669,653,1158,159,1486,180,26350,34380
E01001352,Ealing027D,E09000009,Ealing,1351,1510,224500,415000,1045,561,1241,643,1049,251,1171,226,31440,41440
E01001353,Ealing033A,E09000009,Ealing,1469,1667,160000,279000,1157,535,1359,607,1156,192,1296,166,25790,34260
E01001354,Ealing027E,E09000009,Ealing,1503,1840,212500,477475,1186,607,1559,722,1186,224,1398,256,31200,41470
E01001355,Ealing033B,E09000009,Ealing,1640,1664,160000,250000,1353,587,1415,588,1355,208,1327,166,27140,33790
E01001356,Ealing033C,E09000009,Ealing,1506,1969,95000,172500,1119,291,1424,329,1120,82,1334,60,21210,26980
E01001357,Ealing033D,E09000009,Ealing,1460,1141,105000,170000,1027,269,825,228,1030,69,787,59,22490,29730
E01001358,Ealing033E,E09000009,Ealing,1460,1602,95000,162500,981,254,1116,245,982,83,1065,51,21190,27630
E01001359,Ealing026A,E09000009,Ealing,1938,2201,119950,250000,1423,309,1694,373,1426,85,1594,54,21460,28780
E01001360,Ealing026B,E09000009,Ealing,1933,1923,123000,238000,1426,313,1561,362,1424,76,1437,84,21150,29910
E01001361,Ealing023E,E09000009,Ealing,1684,1802,162500,203750,1176,275,1393,296,1178,85,1334,45,21370,28720
E01001362,Ealing026C,E09000009,Ealing,1944,1935,126000,224000,1436,291,1583,394,1442,60,1511,66,21400,29240
E01001363,Ealing026D,E09000009,Ealing,1573,1685,83000,175000,1191,281,1275,232,1190,73,1198,47,21640,28460
E01001364,Ealing026E,E09000009,Ealing,1752,1676,120000,209500,1185,220,1341,277,1184,56,1253,51,20210,28100
E01001365,Ealing026F,E09000009,Ealing,2224,2217,111250,242500,1678,341,1745,388,1680,98,1652,61,21850,29200
E01001366,Ealing037A,E09000009,Ealing,1612,1923,97000,190000,1144,241,1480,322,1144,60,1434,53,21070,28470
E01001367,Ealing037B,E09000009,Ealing,1495,1764,110000,238250,1105,251,1390,292,1103,77,1327,40,20810,27180
E01001368,Ealing037C,E09000009,Ealing,1650,1723,104750,244975,1183,206,1328,277,1186,57,1266,42,21160,29390
E01001369,Ealing038D,E09000009,Ealing,1607,1846,74500,158000,1159,259,1476,379,1159,88,1405,70,20750,27840
E01001370,Ealing037D,E09000009,Ealing,1846,1980,110500,250000,1314,249,1577,316,1317,77,1503,57,21750,29140
E01001371,Ealing037E,E09000009,Ealing,1705,2081,83250,198500,1229,258,1546,337,1229,73,1480,69,20960,28150
E01001372,Ealing037F,E09000009,Ealing,1564,1763,104950,212000,1126,237,1375,279,1126,50,1341,51,21210,28420
E01001373,Ealing037G,E09000009,Ealing,1416,1499,110000,210000,1026,199,1152,246,1028,49,1096,43,20970,28370
E01001374,Ealing040A,E09000009,Ealing,1594,1798,210000,416500,1289,663,1480,827,1288,309,1424,330,33480,45050
E01001375,Ealing034A,E09000009,Ealing,1508,1665,368475,699975,1196,714,1343,909,1192,375,1276,401,38210,53080
E01001376,Ealing040B,E09000009,Ealing,1528,1579,155000,349000,1272,548,1334,633,1270,253,1283,220,30840,41670
E01001377,Ealing034B,E09000009,Ealing,1697,1770,550000,705475,1255,763,1406,914,1251,347,1299,343,38030,53740
E01001379,Ealing034C,E09000009,Ealing,1535,1679,330000,647177,1182,682,1352,863,1182,333,1278,387,37970,53580
E01001380,Ealing040C,E09000009,Ealing,1608,1759,249000,465000,1304,683,1474,821,1306,306,1401,332,33900,46230
E01001381,Ealing034D,E09000009,Ealing,1502,1649,203000,316750,1219,537,1412,661,1216,204,1346,214,31250,42840
E01001382,Ealing032B,E09000009,Ealing,1561,1566,323400,530000,1132,620,1202,708,1130,246,1106,283,35990,50630
E01001383,Ealing028D,E09000009,Ealing,1672,1791,166000,391500,1290,589,1492,735,1290,244,1424,239,31450,43170
E01001384,Ealing032C,E09000009,Ealing,1535,1645,206500,420000,1269,653,1381,771,1269,275,1316,276,33580,46510
E01001385,Ealing032D,E09000009,Ealing,1623,1682,232500,423500,1267,694,1366,771,1265,294,1292,257,34090,47630
E01001386,Ealing031F,E09000009,Ealing,1815,1793,310000,510000,1431,862,1437,910,1438,393,1366,362,35680,48930
E01001387,Ealing032E,E09000009,Ealing,1519,1546,173000,314500,1214,718,1313,733,1213,344,1223,301,33290,44920
E01001388,Ealing028E,E09000009,Ealing,1465,1640,180000,395000,1068,474,1315,562,1066,180,1249,175,28880,38190
E01001389,Ealing028F,E09000009,Ealing,1498,1667,159950,250000,1201,559,1430,681,1203,232,1348,227,30620,39500
E01001390,Enfield036A,E09000010,Enfield,1517,1971,133000,247500,1223,509,1670,800,1222,170,1590,225,29250,40300
E01001391,Enfield036B,E09000010,Enfield,1376,1564,113000,188000,1071,348,1342,497,1071,95,1269,131,25500,35290
E01001392,Enfield032A,E09000010,Enfield,1542,1824,180000,341000,1219,428,1522,662,1218,161,1434,213,29640,40100
E01001393,Enfield036C,E09000010,Enfield,1552,2112,128000,267000,1271,525,1787,790,1274,187,1722,218,28570,37850
E01001394,Enfield035A,E09000010,Enfield,1522,1653,136000,231250,1135,259,1363,356,1133,83,1257,94,24740,33450
E01001395,Enfield035B,E09000010,Enfield,1423,1590,89998,170000,1017,214,1199,286,1017,56,1138,71,23890,32260
E01001396,Enfield036D,E09000010,Enfield,1287,1413,197000,346500,990,249,1199,345,993,89,1078,113,26790,36270
E01001397,Enfield035C,E09000010,Enfield,1459,1924,82750,215000,1151,305,1546,481,1154,103,1462,125,25100,33810
E01001398,Enfield021A,E09000010,Enfield,1473,1392,181750,355000,1016,255,1129,405,1016,133,1036,145,32160,44730
E01001399,Enfield021B,E09000010,Enfield,1390,1437,187000,308000,1007,234,1178,364,1009,115,1080,143,31440,42480
E01001400,Enfield021C,E09000010,Enfield,1563,1543,192000,400500,1128,236,1285,414,1125,94,1109,138,30640,42640
E01001401,Enfield016A,E09000010,Enfield,1249,1323,146500,281250,924,183,1038,305,928,84,939,93,29060,40450
E01001402,Enfield021D,E09000010,Enfield,1608,1833,160000,356400,1198,341,1532,598,1200,137,1408,231,32020,43860
E01001403,Enfield021E,E09000010,Enfield,1577,1602,157000,250000,1121,221,1298,369,1118,91,1131,116,28730,39410
E01001404,Enfield026A,E09000010,Enfield,1485,1473,150000,314000,1066,195,1169,325,1066,71,1068,110,27790,38420
E01001405,Enfield015A,E09000010,Enfield,1499,1691,111000,227000,1081,336,1494,532,1084,163,1238,182,29670,39500
E01001406,Enfield015B,E09000010,Enfield,1502,1629,98750,249996,1094,272,1291,410,1092,125,1190,125,28500,37610
E01001407,Enfield005A,E09000010,Enfield,1535,1637,139000,250000,1106,203,1272,343,1105,84,1174,116,26570,36660
E01001408,Enfield004A,E09000010,Enfield,1540,1646,133500,250000,1182,277,1309,470,1180,130,1235,145,28100,39500
E01001409,Enfield005B,E09000010,Enfield,1526,1889,88500,174995,1095,177,1433,355,1096,80,1355,85,24420,32260
E01001410,Enfield005C,E09000010,Enfield,1554,1721,62750,123250,1103,170,1295,270,1099,58,1191,80,22780,30400
E01001411,Enfield004B,E09000010,Enfield,1643,1840,142000,311000,1174,267,1402,542,1176,130,1319,165,28050,39350
E01001412,Enfield004C,E09000010,Enfield,1668,1834,125000,285250,1219,186,1461,321,1219,84,1336,100,26500,36750
E01001413,Enfield004D,E09000010,Enfield,1626,1632,168000,350000,1136,265,1332,441,1133,116,1153,133,29270,41740
E01001414,Enfield004E,E09000010,Enfield,1439,1563,74000,280000,960,125,1204,263,961,38,1077,59,22040,32450
E01001415,Enfield011A,E09000010,Enfield,1426,1541,145000,395000,1021,310,1338,407,1022,124,1110,135,29890,39540
E01001416,Enfield013A,E09000010,Enfield,1721,1733,265000,480000,1262,379,1424,570,1264,168,1278,228,33050,46720
E01001417,Enfield011B,E09000010,Enfield,1702,1974,331250,900000,1234,369,1632,580,1232,183,1433,267,39970,53030
E01001418,Enfield011C,E09000010,Enfield,1496,1650,231250,395000,1074,332,1379,492,1073,120,1218,149,29630,40960
E01001419,Enfield020A,E09000010,Enfield,1601,1946,125000,249500,1188,353,1680,624,1185,149,1481,207,30090,39140
E01001420,Enfield020B,E09000010,Enfield,1496,1570,156500,303500,1080,241,1256,330,1082,82,1142,105,27440,36730
E01001421,Enfield020C,E09000010,Enfield,1553,1716,133750,230000,1060,292,1379,399,1061,106,1181,124,27350,35330
E01001422,Enfield011D,E09000010,Enfield,1541,1658,475000,1235000,1049,376,1325,596,1049,238,1196,293,44340,59310
E01001423,Enfield027A,E09000010,Enfield,1501,1805,120000,207000,1027,147,1329,269,1030,52,1236,88,21200,29900
E01001424,Enfield030A,E09000010,Enfield,1455,1210,62000,154995,972,148,871,216,966,32,842,43,18310,27720
E01001425,Enfield027B,E09000010,Enfield,1571,1862,71748,145500,1084,214,1302,252,1084,69,1255,51,20160,26360
E01001426,Enfield030B,E09000010,Enfield,1515,1821,75500,142500,1048,167,1344,250,1050,47,1282,44,19790,27030
E01001427,Enfield030C,E09000010,Enfield,1553,1840,69000,219000,1042,171,1279,234,1044,34,1228,44,18930,25910
E01001428,Enfield027C,E09000010,Enfield,1494,1677,102000,225000,1069,131,1244,232,1071,43,1145,59,19980,28400
E01001429,Enfield030D,E09000010,Enfield,1479,2394,61250,141250,1020,173,1782,357,1020,35,1651,60,17650,26000
E01001430,Enfield030E,E09000010,Enfield,1567,1884,74500,155000,1026,147,1246,188,1030,46,1196,26,18920,24840
E01001431,Enfield033A,E09000010,Enfield,1440,1549,64000,125000,1009,179,1121,223,1011,47,1095,41,20320,27820
E01001432,Enfield033B,E09000010,Enfield,1528,1907,102500,174250,1078,224,1410,305,1080,72,1344,62,20950,28610
E01001433,Enfield007A,E09000010,Enfield,1577,1827,114995,198500,1023,68,1292,196,1027,26,1240,36,21540,29940
E01001434,Enfield007B,E09000010,Enfield,1489,1572,110000,211500,1069,123,1183,218,1070,53,1109,58,23870,32230
E01001435,Enfield007C,E09000010,Enfield,1444,1480,124500,200000,1023,103,1112,218,1019,47,1042,59,24230,32900
E01001436,Enfield007D,E09000010,Enfield,1757,1886,118000,224500,1266,196,1405,300,1266,85,1314,59,24590,32540
E01001437,Enfield014A,E09000010,Enfield,1703,2373,63000,223000,1224,168,1743,354,1226,64,1598,82,21480,28340
E01001438,Enfield007E,E09000010,Enfield,1517,1659,110000,217500,1064,145,1245,254,1064,66,1183,69,24130,31130
E01001439,Enfield006A,E09000010,Enfield,1695,2075,82500,160000,1209,160,1434,235,1209,64,1367,58,21590,27990
E01001440,Enfield012A,E09000010,Enfield,1500,1641,90000,197500,1048,116,1263,217,1049,54,1152,70,22600,30420
E01001441,Enfield006B,E09000010,Enfield,1455,1514,106000,191000,1065,145,1142,203,1068,38,1093,54,22480,28700
E01001442,Enfield002A,E09000010,Enfield,1495,1684,95500,155000,983,105,1142,176,984,40,1047,33,21400,26580
E01001444,Enfield001A,E09000010,Enfield,1571,1676,118600,218000,1130,108,1321,288,1126,58,1215,79,23750,32300
E01001445,Enfield003B,E09000010,Enfield,1543,2284,93625,170000,1162,250,1681,452,1166,98,1631,132,24930,32200
